"Población de 10 y más años de la C.A. de Euskadi por comarca, nivel de instrucción, sexo y periodo"

"comarca";"nivel de instrucción";"sexo";"periodo";Población de 10 y más años de la C.A. de Euskadi
"Añana";"Sin estudios";"Hombres";"2019";36
"Añana";"Sin estudios";"Hombres";"2020";37
"Añana";"Sin estudios";"Mujeres";"2010";47
"Añana";"Sin estudios";"Mujeres";"2013";42
"Añana";"Sin estudios";"Mujeres";"2014";37
"Añana";"Sin estudios";"Mujeres";"2015";38
"Añana";"Sin estudios";"Mujeres";"2016";39
"Añana";"Sin estudios";"Mujeres";"2018";45
"Añana";"Sin estudios";"Mujeres";"2019";47
"Añana";"Sin estudios";"Mujeres";"2020";51
"Añana";"Primarios";"Hombres";"2010";1236
"Añana";"Primarios";"Hombres";"2013";1170
"Añana";"Primarios";"Hombres";"2014";1148
"Añana";"Primarios";"Hombres";"2015";1134
"Añana";"Primarios";"Hombres";"2016";1108
"Añana";"Primarios";"Hombres";"2018";1078
"Añana";"Primarios";"Hombres";"2019";1063
"Añana";"Primarios";"Hombres";"2020";1035
"Añana";"Primarios";"Mujeres";"2010";1109
"Añana";"Primarios";"Mujeres";"2013";1054
"Añana";"Primarios";"Mujeres";"2014";1049
"Añana";"Primarios";"Mujeres";"2015";1039
"Añana";"Primarios";"Mujeres";"2016";1018
"Añana";"Primarios";"Mujeres";"2018";1005
"Añana";"Primarios";"Mujeres";"2019";974
"Añana";"Primarios";"Mujeres";"2020";955
"Añana";"Profesionales";"Hombres";"2010";684
"Añana";"Profesionales";"Hombres";"2013";730
"Añana";"Profesionales";"Hombres";"2014";766
"Añana";"Profesionales";"Hombres";"2015";764
"Añana";"Profesionales";"Hombres";"2016";750
"Añana";"Profesionales";"Hombres";"2018";791
"Añana";"Profesionales";"Hombres";"2019";848
"Añana";"Profesionales";"Hombres";"2020";854
"Añana";"Profesionales";"Mujeres";"2010";381
"Añana";"Profesionales";"Mujeres";"2013";420
"Añana";"Profesionales";"Mujeres";"2014";412
"Añana";"Profesionales";"Mujeres";"2015";426
"Añana";"Profesionales";"Mujeres";"2016";409
"Añana";"Profesionales";"Mujeres";"2018";446
"Añana";"Profesionales";"Mujeres";"2019";467
"Añana";"Profesionales";"Mujeres";"2020";492
"Añana";"Secundarios";"Hombres";"2010";538
"Añana";"Secundarios";"Hombres";"2013";580
"Añana";"Secundarios";"Hombres";"2014";585
"Añana";"Secundarios";"Hombres";"2015";598
"Añana";"Secundarios";"Hombres";"2016";612
"Añana";"Secundarios";"Hombres";"2018";670
"Añana";"Secundarios";"Hombres";"2019";657
"Añana";"Secundarios";"Hombres";"2020";652
"Añana";"Secundarios";"Mujeres";"2010";423
"Añana";"Secundarios";"Mujeres";"2013";452
"Añana";"Secundarios";"Mujeres";"2014";467
"Añana";"Secundarios";"Mujeres";"2015";464
"Añana";"Secundarios";"Mujeres";"2016";469
"Añana";"Secundarios";"Mujeres";"2018";516
"Añana";"Secundarios";"Mujeres";"2019";497
"Añana";"Secundarios";"Mujeres";"2020";531
"Añana";"Medio-superiores";"Hombres";"2010";154
"Añana";"Medio-superiores";"Hombres";"2013";141
"Añana";"Medio-superiores";"Hombres";"2014";138
"Añana";"Medio-superiores";"Hombres";"2015";134
"Añana";"Medio-superiores";"Hombres";"2016";143
"Añana";"Medio-superiores";"Hombres";"2018";149
"Añana";"Medio-superiores";"Hombres";"2019";136
"Añana";"Medio-superiores";"Hombres";"2020";135
"Añana";"Medio-superiores";"Mujeres";"2010";216
"Añana";"Medio-superiores";"Mujeres";"2013";212
"Añana";"Medio-superiores";"Mujeres";"2014";215
"Añana";"Medio-superiores";"Mujeres";"2015";209
"Añana";"Medio-superiores";"Mujeres";"2016";210
"Añana";"Medio-superiores";"Mujeres";"2018";217
"Añana";"Medio-superiores";"Mujeres";"2019";209
"Añana";"Medio-superiores";"Mujeres";"2020";206
"Añana";"Superiores";"Hombres";"2010";277
"Añana";"Superiores";"Hombres";"2013";289
"Añana";"Superiores";"Hombres";"2014";294
"Añana";"Superiores";"Hombres";"2015";289
"Añana";"Superiores";"Hombres";"2016";305
"Añana";"Superiores";"Hombres";"2018";320
"Añana";"Superiores";"Hombres";"2019";340
"Añana";"Superiores";"Hombres";"2020";369
"Añana";"Superiores";"Mujeres";"2010";240
"Añana";"Superiores";"Mujeres";"2013";249
"Añana";"Superiores";"Mujeres";"2014";263
"Añana";"Superiores";"Mujeres";"2015";266
"Añana";"Superiores";"Mujeres";"2016";287
"Añana";"Superiores";"Mujeres";"2018";307
"Añana";"Superiores";"Mujeres";"2019";337
"Añana";"Superiores";"Mujeres";"2020";369
"Arabako Lautada / Llanada Alavesa";"Analfabetos";"Hombres";"2010";200
"Arabako Lautada / Llanada Alavesa";"Analfabetos";"Hombres";"2013";190
"Arabako Lautada / Llanada Alavesa";"Analfabetos";"Hombres";"2014";179
"Arabako Lautada / Llanada Alavesa";"Analfabetos";"Hombres";"2015";177
"Arabako Lautada / Llanada Alavesa";"Analfabetos";"Hombres";"2016";167
"Arabako Lautada / Llanada Alavesa";"Analfabetos";"Hombres";"2018";152
"Arabako Lautada / Llanada Alavesa";"Analfabetos";"Hombres";"2019";143
"Arabako Lautada / Llanada Alavesa";"Analfabetos";"Hombres";"2020";144
"Arabako Lautada / Llanada Alavesa";"Analfabetos";"Mujeres";"2010";523
"Arabako Lautada / Llanada Alavesa";"Analfabetos";"Mujeres";"2013";469
"Arabako Lautada / Llanada Alavesa";"Analfabetos";"Mujeres";"2014";460
"Arabako Lautada / Llanada Alavesa";"Analfabetos";"Mujeres";"2015";448
"Arabako Lautada / Llanada Alavesa";"Analfabetos";"Mujeres";"2016";432
"Arabako Lautada / Llanada Alavesa";"Analfabetos";"Mujeres";"2018";385
"Arabako Lautada / Llanada Alavesa";"Analfabetos";"Mujeres";"2019";370
"Arabako Lautada / Llanada Alavesa";"Analfabetos";"Mujeres";"2020";349
"Arabako Lautada / Llanada Alavesa";"Sin estudios";"Hombres";"2010";2352
"Arabako Lautada / Llanada Alavesa";"Sin estudios";"Hombres";"2013";2009
"Arabako Lautada / Llanada Alavesa";"Sin estudios";"Hombres";"2014";1929
"Arabako Lautada / Llanada Alavesa";"Sin estudios";"Hombres";"2015";1871
"Arabako Lautada / Llanada Alavesa";"Sin estudios";"Hombres";"2016";1788
"Arabako Lautada / Llanada Alavesa";"Sin estudios";"Hombres";"2018";1936
"Arabako Lautada / Llanada Alavesa";"Sin estudios";"Hombres";"2019";1868
"Arabako Lautada / Llanada Alavesa";"Sin estudios";"Hombres";"2020";1867
"Arabako Lautada / Llanada Alavesa";"Sin estudios";"Mujeres";"2010";3172
"Arabako Lautada / Llanada Alavesa";"Sin estudios";"Mujeres";"2013";2786
"Arabako Lautada / Llanada Alavesa";"Sin estudios";"Mujeres";"2014";2692
"Arabako Lautada / Llanada Alavesa";"Sin estudios";"Mujeres";"2015";2626
"Arabako Lautada / Llanada Alavesa";"Sin estudios";"Mujeres";"2016";2514
"Arabako Lautada / Llanada Alavesa";"Sin estudios";"Mujeres";"2018";2618
"Arabako Lautada / Llanada Alavesa";"Sin estudios";"Mujeres";"2019";2518
"Arabako Lautada / Llanada Alavesa";"Sin estudios";"Mujeres";"2020";2507
"Arabako Lautada / Llanada Alavesa";"Primarios";"Hombres";"2010";40044
"Arabako Lautada / Llanada Alavesa";"Primarios";"Hombres";"2013";37425
"Arabako Lautada / Llanada Alavesa";"Primarios";"Hombres";"2014";36659
"Arabako Lautada / Llanada Alavesa";"Primarios";"Hombres";"2015";36343
"Arabako Lautada / Llanada Alavesa";"Primarios";"Hombres";"2016";36048
"Arabako Lautada / Llanada Alavesa";"Primarios";"Hombres";"2018";34565
"Arabako Lautada / Llanada Alavesa";"Primarios";"Hombres";"2019";33705
"Arabako Lautada / Llanada Alavesa";"Primarios";"Hombres";"2020";33740
"Arabako Lautada / Llanada Alavesa";"Primarios";"Mujeres";"2010";42854
"Arabako Lautada / Llanada Alavesa";"Primarios";"Mujeres";"2013";41394
"Arabako Lautada / Llanada Alavesa";"Primarios";"Mujeres";"2014";41042
"Arabako Lautada / Llanada Alavesa";"Primarios";"Mujeres";"2015";40759
"Arabako Lautada / Llanada Alavesa";"Primarios";"Mujeres";"2016";40385
"Arabako Lautada / Llanada Alavesa";"Primarios";"Mujeres";"2018";39269
"Arabako Lautada / Llanada Alavesa";"Primarios";"Mujeres";"2019";38283
"Arabako Lautada / Llanada Alavesa";"Primarios";"Mujeres";"2020";38216
"Arabako Lautada / Llanada Alavesa";"Profesionales";"Hombres";"2010";19512
"Arabako Lautada / Llanada Alavesa";"Profesionales";"Hombres";"2013";22183
"Arabako Lautada / Llanada Alavesa";"Profesionales";"Hombres";"2014";22580
"Arabako Lautada / Llanada Alavesa";"Profesionales";"Hombres";"2015";22833
"Arabako Lautada / Llanada Alavesa";"Profesionales";"Hombres";"2016";23341
"Arabako Lautada / Llanada Alavesa";"Profesionales";"Hombres";"2018";24171
"Arabako Lautada / Llanada Alavesa";"Profesionales";"Hombres";"2019";25932
"Arabako Lautada / Llanada Alavesa";"Profesionales";"Hombres";"2020";26740
"Arabako Lautada / Llanada Alavesa";"Profesionales";"Mujeres";"2010";14048
"Arabako Lautada / Llanada Alavesa";"Profesionales";"Mujeres";"2013";15762
"Arabako Lautada / Llanada Alavesa";"Profesionales";"Mujeres";"2014";16118
"Arabako Lautada / Llanada Alavesa";"Profesionales";"Mujeres";"2015";16442
"Arabako Lautada / Llanada Alavesa";"Profesionales";"Mujeres";"2016";16786
"Arabako Lautada / Llanada Alavesa";"Profesionales";"Mujeres";"2018";17549
"Arabako Lautada / Llanada Alavesa";"Profesionales";"Mujeres";"2019";19115
"Arabako Lautada / Llanada Alavesa";"Profesionales";"Mujeres";"2020";19859
"Arabako Lautada / Llanada Alavesa";"Secundarios";"Hombres";"2010";28066
"Arabako Lautada / Llanada Alavesa";"Secundarios";"Hombres";"2013";26988
"Arabako Lautada / Llanada Alavesa";"Secundarios";"Hombres";"2014";26594
"Arabako Lautada / Llanada Alavesa";"Secundarios";"Hombres";"2015";27090
"Arabako Lautada / Llanada Alavesa";"Secundarios";"Hombres";"2016";26857
"Arabako Lautada / Llanada Alavesa";"Secundarios";"Hombres";"2018";27439
"Arabako Lautada / Llanada Alavesa";"Secundarios";"Hombres";"2019";27620
"Arabako Lautada / Llanada Alavesa";"Secundarios";"Hombres";"2020";27420
"Arabako Lautada / Llanada Alavesa";"Secundarios";"Mujeres";"2010";26598
"Arabako Lautada / Llanada Alavesa";"Secundarios";"Mujeres";"2013";26909
"Arabako Lautada / Llanada Alavesa";"Secundarios";"Mujeres";"2014";26741
"Arabako Lautada / Llanada Alavesa";"Secundarios";"Mujeres";"2015";27240
"Arabako Lautada / Llanada Alavesa";"Secundarios";"Mujeres";"2016";27189
"Arabako Lautada / Llanada Alavesa";"Secundarios";"Mujeres";"2018";27744
"Arabako Lautada / Llanada Alavesa";"Secundarios";"Mujeres";"2019";27904
"Arabako Lautada / Llanada Alavesa";"Secundarios";"Mujeres";"2020";27841
"Arabako Lautada / Llanada Alavesa";"Medio-superiores";"Hombres";"2010";8259
"Arabako Lautada / Llanada Alavesa";"Medio-superiores";"Hombres";"2013";7301
"Arabako Lautada / Llanada Alavesa";"Medio-superiores";"Hombres";"2014";7164
"Arabako Lautada / Llanada Alavesa";"Medio-superiores";"Hombres";"2015";7034
"Arabako Lautada / Llanada Alavesa";"Medio-superiores";"Hombres";"2016";7063
"Arabako Lautada / Llanada Alavesa";"Medio-superiores";"Hombres";"2018";6880
"Arabako Lautada / Llanada Alavesa";"Medio-superiores";"Hombres";"2019";6762
"Arabako Lautada / Llanada Alavesa";"Medio-superiores";"Hombres";"2020";6471
"Arabako Lautada / Llanada Alavesa";"Medio-superiores";"Mujeres";"2010";12490
"Arabako Lautada / Llanada Alavesa";"Medio-superiores";"Mujeres";"2013";11664
"Arabako Lautada / Llanada Alavesa";"Medio-superiores";"Mujeres";"2014";11563
"Arabako Lautada / Llanada Alavesa";"Medio-superiores";"Mujeres";"2015";11427
"Arabako Lautada / Llanada Alavesa";"Medio-superiores";"Mujeres";"2016";11692
"Arabako Lautada / Llanada Alavesa";"Medio-superiores";"Mujeres";"2018";11439
"Arabako Lautada / Llanada Alavesa";"Medio-superiores";"Mujeres";"2019";10934
"Arabako Lautada / Llanada Alavesa";"Medio-superiores";"Mujeres";"2020";10506
"Arabako Lautada / Llanada Alavesa";"Superiores";"Hombres";"2010";14868
"Arabako Lautada / Llanada Alavesa";"Superiores";"Hombres";"2013";16676
"Arabako Lautada / Llanada Alavesa";"Superiores";"Hombres";"2014";17088
"Arabako Lautada / Llanada Alavesa";"Superiores";"Hombres";"2015";17330
"Arabako Lautada / Llanada Alavesa";"Superiores";"Hombres";"2016";17424
"Arabako Lautada / Llanada Alavesa";"Superiores";"Hombres";"2018";18370
"Arabako Lautada / Llanada Alavesa";"Superiores";"Hombres";"2019";18954
"Arabako Lautada / Llanada Alavesa";"Superiores";"Hombres";"2020";19767
"Arabako Lautada / Llanada Alavesa";"Superiores";"Mujeres";"2010";16505
"Arabako Lautada / Llanada Alavesa";"Superiores";"Mujeres";"2013";18516
"Arabako Lautada / Llanada Alavesa";"Superiores";"Mujeres";"2014";19216
"Arabako Lautada / Llanada Alavesa";"Superiores";"Mujeres";"2015";19633
"Arabako Lautada / Llanada Alavesa";"Superiores";"Mujeres";"2016";20125
"Arabako Lautada / Llanada Alavesa";"Superiores";"Mujeres";"2018";21846
"Arabako Lautada / Llanada Alavesa";"Superiores";"Mujeres";"2019";23079
"Arabako Lautada / Llanada Alavesa";"Superiores";"Mujeres";"2020";24402
"Arabako Mendialdea / Montaña Alavesa";"Analfabetos";"Hombres";"2010";1
"Arabako Mendialdea / Montaña Alavesa";"Analfabetos";"Hombres";"2013";2
"Arabako Mendialdea / Montaña Alavesa";"Analfabetos";"Hombres";"2014";2
"Arabako Mendialdea / Montaña Alavesa";"Analfabetos";"Hombres";"2015";4
"Arabako Mendialdea / Montaña Alavesa";"Analfabetos";"Hombres";"2016";3
"Arabako Mendialdea / Montaña Alavesa";"Analfabetos";"Hombres";"2018";3
"Arabako Mendialdea / Montaña Alavesa";"Analfabetos";"Hombres";"2019";4
"Arabako Mendialdea / Montaña Alavesa";"Analfabetos";"Hombres";"2020";2
"Arabako Mendialdea / Montaña Alavesa";"Analfabetos";"Mujeres";"2010";2
"Arabako Mendialdea / Montaña Alavesa";"Analfabetos";"Mujeres";"2013";3
"Arabako Mendialdea / Montaña Alavesa";"Analfabetos";"Mujeres";"2014";3
"Arabako Mendialdea / Montaña Alavesa";"Analfabetos";"Mujeres";"2015";3
"Arabako Mendialdea / Montaña Alavesa";"Analfabetos";"Mujeres";"2016";2
"Arabako Mendialdea / Montaña Alavesa";"Analfabetos";"Mujeres";"2018";1
"Arabako Mendialdea / Montaña Alavesa";"Analfabetos";"Mujeres";"2019";1
"Arabako Mendialdea / Montaña Alavesa";"Analfabetos";"Mujeres";"2020";2
"Arabako Mendialdea / Montaña Alavesa";"Sin estudios";"Hombres";"2010";12
"Arabako Mendialdea / Montaña Alavesa";"Sin estudios";"Hombres";"2013";17
"Arabako Mendialdea / Montaña Alavesa";"Sin estudios";"Hombres";"2014";13
"Arabako Mendialdea / Montaña Alavesa";"Sin estudios";"Hombres";"2015";10
"Arabako Mendialdea / Montaña Alavesa";"Sin estudios";"Hombres";"2016";11
"Arabako Mendialdea / Montaña Alavesa";"Sin estudios";"Hombres";"2018";14
"Arabako Mendialdea / Montaña Alavesa";"Sin estudios";"Hombres";"2019";13
"Arabako Mendialdea / Montaña Alavesa";"Sin estudios";"Hombres";"2020";14
"Arabako Mendialdea / Montaña Alavesa";"Sin estudios";"Mujeres";"2010";18
"Arabako Mendialdea / Montaña Alavesa";"Sin estudios";"Mujeres";"2013";22
"Arabako Mendialdea / Montaña Alavesa";"Sin estudios";"Mujeres";"2014";18
"Arabako Mendialdea / Montaña Alavesa";"Sin estudios";"Mujeres";"2015";18
"Arabako Mendialdea / Montaña Alavesa";"Sin estudios";"Mujeres";"2016";14
"Arabako Mendialdea / Montaña Alavesa";"Sin estudios";"Mujeres";"2018";16
"Arabako Mendialdea / Montaña Alavesa";"Sin estudios";"Mujeres";"2019";14
"Arabako Mendialdea / Montaña Alavesa";"Sin estudios";"Mujeres";"2020";14
"Arabako Mendialdea / Montaña Alavesa";"Primarios";"Hombres";"2010";855
"Arabako Mendialdea / Montaña Alavesa";"Primarios";"Hombres";"2013";783
"Arabako Mendialdea / Montaña Alavesa";"Primarios";"Hombres";"2014";742
"Arabako Mendialdea / Montaña Alavesa";"Primarios";"Hombres";"2015";718
"Arabako Mendialdea / Montaña Alavesa";"Primarios";"Hombres";"2016";699
"Arabako Mendialdea / Montaña Alavesa";"Primarios";"Hombres";"2018";680
"Arabako Mendialdea / Montaña Alavesa";"Primarios";"Hombres";"2019";655
"Arabako Mendialdea / Montaña Alavesa";"Primarios";"Hombres";"2020";644
"Arabako Mendialdea / Montaña Alavesa";"Primarios";"Mujeres";"2010";730
"Arabako Mendialdea / Montaña Alavesa";"Primarios";"Mujeres";"2013";649
"Arabako Mendialdea / Montaña Alavesa";"Primarios";"Mujeres";"2014";610
"Arabako Mendialdea / Montaña Alavesa";"Primarios";"Mujeres";"2015";574
"Arabako Mendialdea / Montaña Alavesa";"Primarios";"Mujeres";"2016";577
"Arabako Mendialdea / Montaña Alavesa";"Primarios";"Mujeres";"2018";538
"Arabako Mendialdea / Montaña Alavesa";"Primarios";"Mujeres";"2019";522
"Arabako Mendialdea / Montaña Alavesa";"Primarios";"Mujeres";"2020";492
"Arabako Mendialdea / Montaña Alavesa";"Profesionales";"Hombres";"2010";326
"Arabako Mendialdea / Montaña Alavesa";"Profesionales";"Hombres";"2013";351
"Arabako Mendialdea / Montaña Alavesa";"Profesionales";"Hombres";"2014";348
"Arabako Mendialdea / Montaña Alavesa";"Profesionales";"Hombres";"2015";355
"Arabako Mendialdea / Montaña Alavesa";"Profesionales";"Hombres";"2016";359
"Arabako Mendialdea / Montaña Alavesa";"Profesionales";"Hombres";"2018";365
"Arabako Mendialdea / Montaña Alavesa";"Profesionales";"Hombres";"2019";365
"Arabako Mendialdea / Montaña Alavesa";"Profesionales";"Hombres";"2020";374
"Arabako Mendialdea / Montaña Alavesa";"Profesionales";"Mujeres";"2010";155
"Arabako Mendialdea / Montaña Alavesa";"Profesionales";"Mujeres";"2013";187
"Arabako Mendialdea / Montaña Alavesa";"Profesionales";"Mujeres";"2014";190
"Arabako Mendialdea / Montaña Alavesa";"Profesionales";"Mujeres";"2015";198
"Arabako Mendialdea / Montaña Alavesa";"Profesionales";"Mujeres";"2016";198
"Arabako Mendialdea / Montaña Alavesa";"Profesionales";"Mujeres";"2018";198
"Arabako Mendialdea / Montaña Alavesa";"Profesionales";"Mujeres";"2019";204
"Arabako Mendialdea / Montaña Alavesa";"Profesionales";"Mujeres";"2020";225
"Arabako Mendialdea / Montaña Alavesa";"Secundarios";"Hombres";"2010";280
"Arabako Mendialdea / Montaña Alavesa";"Secundarios";"Hombres";"2013";284
"Arabako Mendialdea / Montaña Alavesa";"Secundarios";"Hombres";"2014";275
