"Renta personal media de la C.A. de Euskadi (euros) por ámbitos territoriales, tipo de renta, sexo y periodo"

"ámbitos territoriales";"tipo de renta";"sexo";"periodo";Renta personal media de la C.A. de Euskadi (euros)
"C.A. de Euskadi";"Renta capital inmobiliario";"Hombres";"2003";177
"C.A. de Euskadi";"Renta capital inmobiliario";"Hombres";"2006";233
"C.A. de Euskadi";"Renta capital inmobiliario";"Hombres";"2009";287
"C.A. de Euskadi";"Renta capital inmobiliario";"Hombres";"2011";324
"C.A. de Euskadi";"Renta capital inmobiliario";"Hombres";"2013";324
"C.A. de Euskadi";"Renta capital inmobiliario";"Hombres";"2014";341
"C.A. de Euskadi";"Renta capital inmobiliario";"Hombres";"2015";364
"C.A. de Euskadi";"Renta capital inmobiliario";"Hombres";"2016";388
"C.A. de Euskadi";"Renta capital inmobiliario";"Hombres";"2017";415
"C.A. de Euskadi";"Renta capital inmobiliario";"Hombres";"2018";440
"C.A. de Euskadi";"Renta capital inmobiliario";"Hombres";"2019";462
"C.A. de Euskadi";"Renta capital inmobiliario";"Mujeres";"2001";205
"C.A. de Euskadi";"Renta capital inmobiliario";"Mujeres";"2003";219
"C.A. de Euskadi";"Renta capital inmobiliario";"Mujeres";"2006";280
"C.A. de Euskadi";"Renta capital inmobiliario";"Mujeres";"2009";352
"C.A. de Euskadi";"Renta capital inmobiliario";"Mujeres";"2011";397
"C.A. de Euskadi";"Renta capital inmobiliario";"Mujeres";"2013";373
"C.A. de Euskadi";"Renta capital inmobiliario";"Mujeres";"2014";408
"C.A. de Euskadi";"Renta capital inmobiliario";"Mujeres";"2015";434
"C.A. de Euskadi";"Renta capital inmobiliario";"Mujeres";"2016";459
"C.A. de Euskadi";"Renta capital inmobiliario";"Mujeres";"2017";489
"C.A. de Euskadi";"Renta capital inmobiliario";"Mujeres";"2018";485
"C.A. de Euskadi";"Renta capital inmobiliario";"Mujeres";"2019";536
"C.A. de Euskadi";"Renta de actividades";"Total";"2001";873
"C.A. de Euskadi";"Renta de actividades";"Total";"2003";877
"C.A. de Euskadi";"Renta de actividades";"Total";"2006";966
"C.A. de Euskadi";"Renta de actividades";"Total";"2009";901
"C.A. de Euskadi";"Renta de actividades";"Total";"2011";875
"C.A. de Euskadi";"Renta de actividades";"Total";"2013";812
"C.A. de Euskadi";"Renta de actividades";"Total";"2014";881
"C.A. de Euskadi";"Renta de actividades";"Total";"2015";952
"C.A. de Euskadi";"Renta de actividades";"Total";"2016";963
"C.A. de Euskadi";"Renta de actividades";"Total";"2017";995
"C.A. de Euskadi";"Renta de actividades";"Total";"2018";1029
"C.A. de Euskadi";"Renta de actividades";"Total";"2019";1056
"C.A. de Euskadi";"Renta de actividades";"Hombres";"2001";1298
"C.A. de Euskadi";"Renta de actividades";"Hombres";"2003";1283
"C.A. de Euskadi";"Renta de actividades";"Hombres";"2006";1416
"C.A. de Euskadi";"Renta de actividades";"Hombres";"2009";1281
"C.A. de Euskadi";"Renta de actividades";"Hombres";"2011";1224
"C.A. de Euskadi";"Renta de actividades";"Hombres";"2013";1136
"C.A. de Euskadi";"Renta de actividades";"Hombres";"2014";1234
"C.A. de Euskadi";"Renta de actividades";"Hombres";"2015";1351
"C.A. de Euskadi";"Renta de actividades";"Hombres";"2016";1356
"C.A. de Euskadi";"Renta de actividades";"Hombres";"2017";1402
"C.A. de Euskadi";"Renta de actividades";"Hombres";"2018";1447
"C.A. de Euskadi";"Renta de actividades";"Hombres";"2019";1467
"C.A. de Euskadi";"Renta de actividades";"Mujeres";"2001";473
"C.A. de Euskadi";"Renta de actividades";"Mujeres";"2003";494
"C.A. de Euskadi";"Renta de actividades";"Mujeres";"2006";543
"C.A. de Euskadi";"Renta de actividades";"Mujeres";"2009";544
"C.A. de Euskadi";"Renta de actividades";"Mujeres";"2011";549
"C.A. de Euskadi";"Renta de actividades";"Mujeres";"2013";511
"C.A. de Euskadi";"Renta de actividades";"Mujeres";"2014";554
"C.A. de Euskadi";"Renta de actividades";"Mujeres";"2015";583
"C.A. de Euskadi";"Renta de actividades";"Mujeres";"2016";598
"C.A. de Euskadi";"Renta de actividades";"Mujeres";"2017";621
"C.A. de Euskadi";"Renta de actividades";"Mujeres";"2018";644
"C.A. de Euskadi";"Renta de actividades";"Mujeres";"2019";676
"C.A. de Euskadi";"Transferencias";"Total";"2001";2407
"C.A. de Euskadi";"Transferencias";"Total";"2003";2677
"C.A. de Euskadi";"Transferencias";"Total";"2006";3433
"C.A. de Euskadi";"Transferencias";"Total";"2009";4441
"C.A. de Euskadi";"Transferencias";"Total";"2011";4677
"C.A. de Euskadi";"Transferencias";"Total";"2013";4974
"C.A. de Euskadi";"Transferencias";"Total";"2014";5042
"C.A. de Euskadi";"Transferencias";"Total";"2015";5419
"C.A. de Euskadi";"Transferencias";"Total";"2016";5489
"C.A. de Euskadi";"Transferencias";"Total";"2017";5662
"C.A. de Euskadi";"Transferencias";"Total";"2018";5747
"C.A. de Euskadi";"Transferencias";"Total";"2019";6033
"C.A. de Euskadi";"Transferencias";"Hombres";"2001";3289
"C.A. de Euskadi";"Transferencias";"Hombres";"2003";3610
"C.A. de Euskadi";"Transferencias";"Hombres";"2006";4507
"C.A. de Euskadi";"Transferencias";"Hombres";"2009";5818
"C.A. de Euskadi";"Transferencias";"Hombres";"2011";6027
"C.A. de Euskadi";"Transferencias";"Hombres";"2013";6399
"C.A. de Euskadi";"Transferencias";"Hombres";"2014";6455
"C.A. de Euskadi";"Transferencias";"Hombres";"2015";6820
"C.A. de Euskadi";"Transferencias";"Hombres";"2016";6848
"C.A. de Euskadi";"Transferencias";"Hombres";"2017";7040
"C.A. de Euskadi";"Transferencias";"Hombres";"2018";7115
"C.A. de Euskadi";"Transferencias";"Hombres";"2019";7344
"C.A. de Euskadi";"Transferencias";"Mujeres";"2001";1579
"C.A. de Euskadi";"Transferencias";"Mujeres";"2003";1797
"C.A. de Euskadi";"Transferencias";"Mujeres";"2006";2425
"C.A. de Euskadi";"Transferencias";"Mujeres";"2009";3150
"C.A. de Euskadi";"Transferencias";"Mujeres";"2011";3416
"C.A. de Euskadi";"Transferencias";"Mujeres";"2013";3652
"C.A. de Euskadi";"Transferencias";"Mujeres";"2014";3733
"C.A. de Euskadi";"Transferencias";"Mujeres";"2015";4124
"C.A. de Euskadi";"Transferencias";"Mujeres";"2016";4230
"C.A. de Euskadi";"Transferencias";"Mujeres";"2017";4393
"C.A. de Euskadi";"Transferencias";"Mujeres";"2018";4487
"C.A. de Euskadi";"Transferencias";"Mujeres";"2019";4825
"C.A. de Euskadi";"Renta disponible";"Total";"2001";10800
"C.A. de Euskadi";"Renta disponible";"Total";"2003";11647
"C.A. de Euskadi";"Renta disponible";"Total";"2006";14598
"C.A. de Euskadi";"Renta disponible";"Total";"2009";16808
"C.A. de Euskadi";"Renta disponible";"Total";"2011";16711
"C.A. de Euskadi";"Renta disponible";"Total";"2013";16216
"C.A. de Euskadi";"Renta disponible";"Total";"2014";16235
"C.A. de Euskadi";"Renta disponible";"Total";"2015";16731
"C.A. de Euskadi";"Renta disponible";"Total";"2016";17000
"C.A. de Euskadi";"Renta disponible";"Total";"2017";17615
"C.A. de Euskadi";"Renta disponible";"Total";"2018";17860
"C.A. de Euskadi";"Renta disponible";"Total";"2019";18821
"C.A. de Euskadi";"Renta disponible";"Hombres";"2001";14977
"C.A. de Euskadi";"Renta disponible";"Hombres";"2003";15891
"C.A. de Euskadi";"Renta disponible";"Hombres";"2006";19287
"C.A. de Euskadi";"Renta disponible";"Hombres";"2009";21494
"C.A. de Euskadi";"Renta disponible";"Hombres";"2011";21155
"C.A. de Euskadi";"Renta disponible";"Hombres";"2013";20289
"C.A. de Euskadi";"Renta disponible";"Hombres";"2014";20182
"C.A. de Euskadi";"Renta disponible";"Hombres";"2015";20804
"C.A. de Euskadi";"Renta disponible";"Hombres";"2016";21085
"C.A. de Euskadi";"Renta disponible";"Hombres";"2017";21873
"C.A. de Euskadi";"Renta disponible";"Hombres";"2018";22133
"C.A. de Euskadi";"Renta disponible";"Hombres";"2019";22934
"C.A. de Euskadi";"Renta disponible";"Mujeres";"2001";6875
"C.A. de Euskadi";"Renta disponible";"Mujeres";"2003";7643
"C.A. de Euskadi";"Renta disponible";"Mujeres";"2006";10194
"C.A. de Euskadi";"Renta disponible";"Mujeres";"2009";12412
"C.A. de Euskadi";"Renta disponible";"Mujeres";"2011";12557
"C.A. de Euskadi";"Renta disponible";"Mujeres";"2013";12435
"C.A. de Euskadi";"Renta disponible";"Mujeres";"2014";12578
"C.A. de Euskadi";"Renta disponible";"Mujeres";"2015";12965
"C.A. de Euskadi";"Renta disponible";"Mujeres";"2016";13217
"C.A. de Euskadi";"Renta disponible";"Mujeres";"2017";13693
"C.A. de Euskadi";"Renta disponible";"Mujeres";"2018";13922
"C.A. de Euskadi";"Renta disponible";"Mujeres";"2019";15030
"Araba/Álava";"Renta total";"Total";"2001";13266
"Araba/Álava";"Renta total";"Total";"2003";14132
"Araba/Álava";"Renta total";"Total";"2006";17190
"Araba/Álava";"Renta total";"Total";"2009";19657
"Araba/Álava";"Renta total";"Total";"2011";20148
"Araba/Álava";"Renta total";"Total";"2013";19359
"Araba/Álava";"Renta total";"Total";"2014";19346
"Araba/Álava";"Renta total";"Total";"2015";19789
"Araba/Álava";"Renta total";"Total";"2016";19889
"Araba/Álava";"Renta total";"Total";"2017";20410
"Araba/Álava";"Renta total";"Total";"2018";20978
"Araba/Álava";"Renta total";"Total";"2019";21994
"Araba/Álava";"Renta total";"Hombres";"2001";18358
"Araba/Álava";"Renta total";"Hombres";"2003";19090
"Araba/Álava";"Renta total";"Hombres";"2006";22703
"Araba/Álava";"Renta total";"Hombres";"2009";24727
"Araba/Álava";"Renta total";"Hombres";"2011";25323
"Araba/Álava";"Renta total";"Hombres";"2013";24140
"Araba/Álava";"Renta total";"Hombres";"2014";24112
"Araba/Álava";"Renta total";"Hombres";"2015";24618
"Araba/Álava";"Renta total";"Hombres";"2016";24738
"Araba/Álava";"Renta total";"Hombres";"2017";25484
"Araba/Álava";"Renta total";"Hombres";"2018";26054
"Araba/Álava";"Renta total";"Hombres";"2019";27163
"Araba/Álava";"Renta total";"Mujeres";"2001";8308
"Araba/Álava";"Renta total";"Mujeres";"2003";9257
"Araba/Álava";"Renta total";"Mujeres";"2006";11768
"Araba/Álava";"Renta total";"Mujeres";"2009";14652
"Araba/Álava";"Renta total";"Mujeres";"2011";15074
"Araba/Álava";"Renta total";"Mujeres";"2013";14747
"Araba/Álava";"Renta total";"Mujeres";"2014";14761
"Araba/Álava";"Renta total";"Mujeres";"2015";15168
"Araba/Álava";"Renta total";"Mujeres";"2016";15245
"Araba/Álava";"Renta total";"Mujeres";"2017";15597
"Araba/Álava";"Renta total";"Mujeres";"2018";16164
"Araba/Álava";"Renta total";"Mujeres";"2019";17105
"Araba/Álava";"Renta del trabajo";"Total";"2001";9349
"Araba/Álava";"Renta del trabajo";"Total";"2003";9926
"Araba/Álava";"Renta del trabajo";"Total";"2006";11407
"Araba/Álava";"Renta del trabajo";"Total";"2009";12696
"Araba/Álava";"Renta del trabajo";"Total";"2011";12770
"Araba/Álava";"Renta del trabajo";"Total";"2013";11947
"Araba/Álava";"Renta del trabajo";"Total";"2014";11939
"Araba/Álava";"Renta del trabajo";"Total";"2015";12193
"Araba/Álava";"Renta del trabajo";"Total";"2016";12204
"Araba/Álava";"Renta del trabajo";"Total";"2017";12594
"Araba/Álava";"Renta del trabajo";"Total";"2018";12865
"Araba/Álava";"Renta del trabajo";"Total";"2019";13405
"Araba/Álava";"Renta del trabajo";"Hombres";"2001";13250
"Araba/Álava";"Renta del trabajo";"Hombres";"2003";13714
"Araba/Álava";"Renta del trabajo";"Hombres";"2006";15422
"Araba/Álava";"Renta del trabajo";"Hombres";"2009";16068
"Araba/Álava";"Renta del trabajo";"Hombres";"2011";16118
"Araba/Álava";"Renta del trabajo";"Hombres";"2013";14933
"Araba/Álava";"Renta del trabajo";"Hombres";"2014";14882
"Araba/Álava";"Renta del trabajo";"Hombres";"2015";15206
"Araba/Álava";"Renta del trabajo";"Hombres";"2016";15186
"Araba/Álava";"Renta del trabajo";"Hombres";"2017";15694
"Araba/Álava";"Renta del trabajo";"Hombres";"2018";16025
"Araba/Álava";"Renta del trabajo";"Hombres";"2019";16530
"Araba/Álava";"Renta del trabajo";"Mujeres";"2001";5551
"Araba/Álava";"Renta del trabajo";"Mujeres";"2003";6201
"Araba/Álava";"Renta del trabajo";"Mujeres";"2006";7459
"Araba/Álava";"Renta del trabajo";"Mujeres";"2009";9367
"Araba/Álava";"Renta del trabajo";"Mujeres";"2011";9486
"Araba/Álava";"Renta del trabajo";"Mujeres";"2013";9067
"Araba/Álava";"Renta del trabajo";"Mujeres";"2014";9107
"Araba/Álava";"Renta del trabajo";"Mujeres";"2015";9310
"Araba/Álava";"Renta del trabajo";"Mujeres";"2016";9348
"Araba/Álava";"Renta del trabajo";"Mujeres";"2017";9653
"Araba/Álava";"Renta del trabajo";"Mujeres";"2018";9868
"Araba/Álava";"Renta del trabajo";"Mujeres";"2019";10448
"Araba/Álava";"Renta capital mobiliario";"Total";"2001";811
"Araba/Álava";"Renta capital mobiliario";"Total";"2003";841
"Araba/Álava";"Renta capital mobiliario";"Total";"2006";1431
"Araba/Álava";"Renta capital mobiliario";"Total";"2009";1600
"Araba/Álava";"Renta capital mobiliario";"Total";"2011";1247
"Araba/Álava";"Renta capital mobiliario";"Total";"2013";1273
"Araba/Álava";"Renta capital mobiliario";"Total";"2014";1112
"Araba/Álava";"Renta capital mobiliario";"Total";"2015";1096
"Araba/Álava";"Renta capital mobiliario";"Total";"2016";985
"Araba/Álava";"Renta capital mobiliario";"Total";"2017";971
"Araba/Álava";"Renta capital mobiliario";"Total";"2018";1130
"Araba/Álava";"Renta capital mobiliario";"Total";"2019";1273
"Araba/Álava";"Renta capital mobiliario";"Hombres";"2001";922
"Araba/Álava";"Renta capital mobiliario";"Hombres";"2003";920
"Araba/Álava";"Renta capital mobiliario";"Hombres";"2006";1603
"Araba/Álava";"Renta capital mobiliario";"Hombres";"2009";1805
"Araba/Álava";"Renta capital mobiliario";"Hombres";"2011";1408
"Araba/Álava";"Renta capital mobiliario";"Hombres";"2013";1468
"Araba/Álava";"Renta capital mobiliario";"Hombres";"2014";1296
"Araba/Álava";"Renta capital mobiliario";"Hombres";"2015";1250
"Araba/Álava";"Renta capital mobiliario";"Hombres";"2016";1191
"Araba/Álava";"Renta capital mobiliario";"Hombres";"2017";1253
"Araba/Álava";"Renta capital mobiliario";"Hombres";"2018";1366
"Araba/Álava";"Renta capital mobiliario";"Hombres";"2019";1679
"Araba/Álava";"Renta capital mobiliario";"Mujeres";"2001";702
"Araba/Álava";"Renta capital mobiliario";"Mujeres";"2003";762
"Araba/Álava";"Renta capital mobiliario";"Mujeres";"2006";1263
"Araba/Álava";"Renta capital mobiliario";"Mujeres";"2009";1399
"Araba/Álava";"Renta capital mobiliario";"Mujeres";"2011";1088
"Araba/Álava";"Renta capital mobiliario";"Mujeres";"2013";1085
"Araba/Álava";"Renta capital mobiliario";"Mujeres";"2014";934
"Araba/Álava";"Renta capital mobiliario";"Mujeres";"2015";948
"Araba/Álava";"Renta capital mobiliario";"Mujeres";"2016";788
"Araba/Álava";"Renta capital mobiliario";"Mujeres";"2017";703
"Araba/Álava";"Renta capital mobiliario";"Mujeres";"2018";906
"Araba/Álava";"Renta capital mobiliario";"Mujeres";"2019";890
"Araba/Álava";"Renta capital inmobiliario";"Total";"2001";197
"Araba/Álava";"Renta capital inmobiliario";"Total";"2003";224
"Araba/Álava";"Renta capital inmobiliario";"Total";"2006";253
"Araba/Álava";"Renta capital inmobiliario";"Total";"2009";330
"Araba/Álava";"Renta capital inmobiliario";"Total";"2011";349
"Araba/Álava";"Renta capital inmobiliario";"Total";"2013";335
"Araba/Álava";"Renta capital inmobiliario";"Total";"2014";350
"Araba/Álava";"Renta capital inmobiliario";"Total";"2015";369
"Araba/Álava";"Renta capital inmobiliario";"Total";"2016";396
"Araba/Álava";"Renta capital inmobiliario";"Total";"2017";413
"Araba/Álava";"Renta capital inmobiliario";"Total";"2018";436
"Araba/Álava";"Renta capital inmobiliario";"Total";"2019";456
"Araba/Álava";"Renta capital inmobiliario";"Hombres";"2001";177
"Araba/Álava";"Renta capital inmobiliario";"Hombres";"2003";206
"Araba/Álava";"Renta capital inmobiliario";"Hombres";"2006";238
"Araba/Álava";"Renta capital inmobiliario";"Hombres";"2009";308
"Araba/Álava";"Renta capital inmobiliario";"Hombres";"2011";325
"Araba/Álava";"Renta capital inmobiliario";"Hombres";"2013";310
"Araba/Álava";"Renta capital inmobiliario";"Hombres";"2014";328
"Araba/Álava";"Renta capital inmobiliario";"Hombres";"2015";347
"Araba/Álava";"Renta capital inmobiliario";"Hombres";"2016";374
"Araba/Álava";"Renta capital inmobiliario";"Hombres";"2017";391
"Araba/Álava";"Renta capital inmobiliario";"Hombres";"2018";414
"Araba/Álava";"Renta capital inmobiliario";"Hombres";"2019";435
"Araba/Álava";"Renta capital inmobiliario";"Mujeres";"2001";217
"Araba/Álava";"Renta capital inmobiliario";"Mujeres";"2003";241
"Araba/Álava";"Renta capital inmobiliario";"Mujeres";"2006";268
"Araba/Álava";"Renta capital inmobiliario";"Mujeres";"2009";352
"Araba/Álava";"Renta capital inmobiliario";"Mujeres";"2011";373
"Araba/Álava";"Renta capital inmobiliario";"Mujeres";"2013";359
"Araba/Álava";"Renta capital inmobiliario";"Mujeres";"2014";371
"Araba/Álava";"Renta capital inmobiliario";"Mujeres";"2015";390
"Araba/Álava";"Renta capital inmobiliario";"Mujeres";"2016";418
"Araba/Álava";"Renta capital inmobiliario";"Mujeres";"2017";433
"Araba/Álava";"Renta capital inmobiliario";"Mujeres";"2018";457
"Araba/Álava";"Renta capital inmobiliario";"Mujeres";"2019";476
"Araba/Álava";"Renta de actividades";"Total";"2001";927
"Araba/Álava";"Renta de actividades";"Total";"2003";921
"Araba/Álava";"Renta de actividades";"Total";"2006";959
"Araba/Álava";"Renta de actividades";"Total";"2009";899
"Araba/Álava";"Renta de actividades";"Total";"2011";833
"Araba/Álava";"Renta de actividades";"Total";"2013";788
"Araba/Álava";"Renta de actividades";"Total";"2014";818
"Araba/Álava";"Renta de actividades";"Total";"2015";869
"Araba/Álava";"Renta de actividades";"Total";"2016";912
"Araba/Álava";"Renta de actividades";"Total";"2017";952
"Araba/Álava";"Renta de actividades";"Total";"2018";965
"Araba/Álava";"Renta de actividades";"Total";"2019";982
"Araba/Álava";"Renta de actividades";"Hombres";"2001";1375
"Araba/Álava";"Renta de actividades";"Hombres";"2003";1331
"Araba/Álava";"Renta de actividades";"Hombres";"2006";1373
"Araba/Álava";"Renta de actividades";"Hombres";"2009";1259
"Araba/Álava";"Renta de actividades";"Hombres";"2011";1138
"Araba/Álava";"Renta de actividades";"Hombres";"2013";1071
"Araba/Álava";"Renta de actividades";"Hombres";"2014";1124
"Araba/Álava";"Renta de actividades";"Hombres";"2015";1196
"Araba/Álava";"Renta de actividades";"Hombres";"2016";1255
"Araba/Álava";"Renta de actividades";"Hombres";"2017";1310
"Araba/Álava";"Renta de actividades";"Hombres";"2018";1326
"Araba/Álava";"Renta de actividades";"Hombres";"2019";1341
"Araba/Álava";"Renta de actividades";"Mujeres";"2001";490
